name,awards,university
Scott Aaronson,4,Cornell University
Rediet Abebe,0,Cornell University
Hal Abelson,1,Princeton University
Serge Abiteboul,7,University of Southern California
Samson Abramsky,5,"King%27s College, Cambridge"
Leonard Adleman,1,"University of California, Berkeley"
Manindra Agrawal,8,Indian Institute of Technology Kanpur
Luis von Ahn,4,Duke University
Alfred Aho,5,University of Toronto
Frances E. Allen,7,University at Albany
Gene Amdahl,3,South Dakota State University
David P. Anderson,1,Wesleyan University
Cecilia R. Aragon,1,California Institute of Technology
Bruce Arden,0,Purdue University
Angie Jones,0,Tennessee State University
Sanjeev Arora,0,Bachelor of Science
Winifred Asprey,0,Vassar College
John Vincent Atanasoff,1,University of Florida
Shakuntala Atre,0,University of Poona
Charles Babbage,1,"Peterhouse, Cambridge"
Charles Bachman,3,University of Pennsylvania
Roland Carl Backhouse,0,"Churchill College, Cambridge"
John Backus,3,University of Virginia
David F. Bacon,1,"University of California, Berkeley"
David Bader (computer scientist),11,Lehigh University
Victor Bahl,0,"University of Massachusetts, Amherst"
Anthony James Barr,0,North Carolina State University
Jean Bartik,2,Northwest Missouri State University
Andrew Barto,2,University of Michigan
Friedrich L. Bauer,3,Ludwig-Maximilians-Universit%C3%A4t
Rudolf Bayer,2,University of Illinois at Urbana%E2%80%93Champaign
Gordon Bell,3,MIT
Steven M. Bellovin,0,Columbia University
Tim Berners-Lee,5,"The Queen%27s College, Oxford"
Daniel J. Bernstein,0,"University of California, Berkeley"
Jeff Bezos,0,Princeton University
Abhay Bhushan,0,Indian Institute of Technology Kanpur
Sue Black (computer scientist),0,London South Bank University
David Blei,2,Brown University
Dorothy Blum,0,Brooklyn College
Lenore Blum,4,Simmons University
Manuel Blum,1,Massachusetts Institute of Technology
Grady Booch,2,United States Air Force Academy
George Boole,0,#cite note-MacTutor-3
Andrew Donald Booth,0,"Jesus College, Cambridge"
Anita Borg,0,New York University
Jonathan Bowen,2,"University College, Oxford"
Stephen R. Bourne,3,King%27s College London
Harry Bouwman,0,VU University Amsterdam
Robert S. Boyer,0,Doctor of Philosophy
Karlheinz Brandenburg,1,University of Erlangen-Nuremberg
Sergey Brin,0,"University of Maryland, College Park"
Per Brinch Hansen,1,Technical University of Denmark
Fred Brooks,5,Duke University
Rod Brooks,1,Stanford University
Michael Butler (computer scientist),0,"Trinity College, Dublin"
Tracy Camp,1,The College of William and Mary
Martin Campbell-Kelly,0,University of Sunderland
Rosemary Candlin,0,University of Cambridge
Luca Cardelli,3,University of Pisa
Michael E. Caspersen,10,Aarhus University
Edwin Catmull,4,University of Utah
